fecha,prec,temt,dirv,velv,radg,humr
2019-10-06 00:00:00,0.0,20.0,83.6,5.2,0.0,53.0
2019-10-06 00:15:00,0.0,19.6,251.3,3.4,0.0,55.0
2019-10-06 00:30:00,0.0,18.5,233.7,2.4,0.0,60.0
2019-10-06 00:45:00,0.0,19.2,112.4,5.0,0.0,56.0
2019-10-06 01:00:00,0.0,19.2,101.9,4.9,0.0,57.0
2019-10-06 01:15:00,0.0,18.7,92.1,3.5,0.0,59.0
2019-10-06 01:30:00,0.0,18.0,101.7,2.8,0.0,63.0
2019-10-06 01:45:00,0.0,17.2,76.0,2.5,0.0,66.0
2019-10-06 02:00:00,0.0,16.8,79.5,2.7,0.0,69.0
2019-10-06 02:15:00,0.0,16.6,82.5,2.8,0.0,69.0
2019-10-06 02:30:00,0.0,16.4,73.8,2.7,0.0,70.0
2019-10-06 02:45:00,0.0,16.7,93.1,3.7,0.0,68.0
2019-10-06 03:00:00,0.0,17.1,77.8,4.0,0.0,67.0
2019-10-06 03:15:00,0.0,16.9,83.2,5.7,0.0,68.0
2019-10-06 03:30:00,0.0,17.2,100.9,5.2,0.0,66.0
2019-10-06 03:45:00,0.0,16.7,89.8,1.8,0.0,69.0
2019-10-06 04:00:00,0.0,15.7,25.2,1.3,0.0,73.0
2019-10-06 04:15:00,0.0,15.0,29.9,2.2,0.0,75.0
2019-10-06 04:30:00,0.0,15.2,10.5,2.4,0.0,74.0
2019-10-06 04:45:00,0.0,15.2,29.4,2.5,0.0,74.0
2019-10-06 05:00:00,0.0,15.2,36.0,1.7,0.0,74.0
2019-10-06 05:15:00,0.0,15.4,23.0,3.0,0.0,73.0
2019-10-06 05:30:00,0.0,15.2,39.8,2.7,0.0,75.0
2019-10-06 05:45:00,0.0,14.9,30.5,1.5,0.0,76.0
2019-10-06 06:00:00,0.0,14.4,34.8,1.6,0.0,78.0
2019-10-06 06:15:00,0.0,14.0,34.8,1.9,0.0,81.0
2019-10-06 06:30:00,0.0,14.2,20.7,1.7,0.0,81.0
2019-10-06 06:45:00,0.0,14.3,22.5,0.7,0.0,80.0
2019-10-06 07:00:00,0.0,13.5,55.8,0.3,0.0,82.0
2019-10-06 07:15:00,0.0,13.4,80.5,1.4,0.0,84.0
2019-10-06 07:30:00,0.0,13.4,80.5,0.6,0.0,85.0
2019-10-06 07:45:00,0.0,13.3,80.5,0.0,2.4,85.0
2019-10-06 08:00:00,0.0,12.8,79.5,0.0,15.6,85.0
2019-10-06 08:15:00,0.0,13.1,79.5,0.0,33.7,86.0
2019-10-06 08:30:00,0.0,14.3,125.2,0.6,100.1,84.0
2019-10-06 08:45:00,0.0,15.4,66.8,1.5,143.1,80.0
2019-10-06 09:00:00,0.0,16.3,66.8,0.3,188.5,75.0
2019-10-06 09:15:00,0.0,17.0,30.2,0.3,234.4,72.0
2019-10-06 09:30:00,0.0,17.9,29.3,0.1,287.2,69.0
2019-10-06 09:45:00,0.0,18.5,304.4,0.2,335.0,68.0
2019-10-06 10:00:00,0.0,18.6,257.7,1.0,389.3,67.0
2019-10-06 10:15:00,0.0,19.1,314.0,1.2,432.7,65.0
2019-10-06 10:30:00,0.0,20.6,91.2,0.7,477.2,59.0
2019-10-06 10:45:00,0.0,21.0,98.2,0.8,520.6,57.0
2019-10-06 11:00:00,0.0,21.0,226.4,1.8,557.8,57.0
2019-10-06 11:15:00,0.0,21.7,242.5,1.2,591.5,54.0
2019-10-06 11:30:00,0.0,21.7,257.6,1.2,621.2,54.0
2019-10-06 11:45:00,0.0,22.6,252.0,1.1,645.7,51.0
2019-10-06 12:00:00,0.0,22.6,277.0,1.3,666.7,50.0
2019-10-06 12:15:00,0.0,22.5,351.6,3.3,688.2,51.0
2019-10-06 12:30:00,0.0,23.2,16.8,2.1,711.1,47.0
2019-10-06 12:45:00,0.0,23.5,286.3,1.8,722.8,45.0
2019-10-06 13:00:00,0.0,24.0,98.1,2.1,734.6,43.0
2019-10-06 13:15:00,0.0,24.5,290.4,1.8,746.3,40.0
2019-10-06 13:30:00,0.0,25.1,94.5,2.0,764.3,39.0
2019-10-06 13:45:00,0.0,26.0,169.6,1.4,787.3,37.0
2019-10-06 14:00:00,0.0,26.2,327.1,2.1,778.0,35.0
2019-10-06 14:15:00,0.0,25.6,345.5,3.2,705.3,36.0
2019-10-06 14:30:00,0.0,25.2,1.8,2.9,433.7,37.0
2019-10-06 14:45:00,0.0,25.3,359.4,3.2,654.0,37.0
2019-10-06 15:00:00,0.0,26.4,281.3,1.6,698.4,33.0
2019-10-06 15:15:00,0.0,26.3,268.4,3.1,665.7,33.0
2019-10-06 15:30:00,0.0,26.7,342.2,2.4,649.1,32.0
2019-10-06 15:45:00,0.0,26.6,1.4,4.2,628.6,31.0
2019-10-06 16:00:00,0.0,26.9,7.7,5.1,588.0,30.0
2019-10-06 16:15:00,0.0,27.2,316.9,2.7,535.8,29.0
2019-10-06 16:30:00,0.0,27.1,350.0,3.7,457.6,29.0
2019-10-06 16:45:00,0.0,27.6,33.8,2.4,475.2,27.0
2019-10-06 17:00:00,0.0,28.2,320.2,1.9,457.6,26.0
2019-10-06 17:15:00,0.0,27.9,27.2,3.9,419.0,26.0
2019-10-06 17:30:00,0.0,28.0,43.4,3.9,369.7,26.0
2019-10-06 17:45:00,0.0,26.8,36.2,5.5,93.3,28.0
2019-10-06 18:00:00,0.0,26.3,10.5,5.2,164.1,29.0
2019-10-06 18:15:00,0.0,26.9,0.3,4.2,166.5,28.0
2019-10-06 18:30:00,0.0,26.8,357.4,4.2,154.3,29.0
2019-10-06 18:45:00,0.0,26.6,36.0,4.9,95.7,29.0
2019-10-06 19:00:00,0.0,25.8,29.4,3.5,33.7,30.0
2019-10-06 19:15:00,0.0,24.9,4.7,1.8,20.5,32.0
2019-10-06 19:30:00,0.0,24.2,13.2,2.6,6.3,34.0
2019-10-06 19:45:00,0.0,23.5,12.0,2.1,0.5,35.0
