fecha,prec,temt,dirv,velv,radg,humr
2019-10-06 00:00:00,0.0,16.8,311.8,3.0,0.0,74.0
2019-10-06 00:15:00,0.0,16.9,297.8,0.1,0.0,73.0
2019-10-06 00:30:00,0.0,17.1,21.1,2.2,0.0,69.0
2019-10-06 00:45:00,0.0,16.3,339.9,2.7,0.0,76.0
2019-10-06 01:00:00,0.0,15.7,8.6,1.5,0.0,80.0
2019-10-06 01:15:00,0.0,15.9,92.0,3.7,0.0,80.0
2019-10-06 01:30:00,0.0,15.8,323.5,3.1,0.0,80.0
2019-10-06 01:45:00,0.0,15.5,173.4,1.7,0.0,80.0
2019-10-06 02:00:00,0.0,15.0,308.5,2.0,0.0,83.0
2019-10-06 02:15:00,0.0,15.2,328.0,3.7,0.0,82.0
2019-10-06 02:30:00,0.0,15.0,347.3,2.5,0.0,83.0
2019-10-06 02:45:00,0.0,15.3,28.0,2.5,0.0,82.0
2019-10-06 03:00:00,0.0,15.2,341.7,2.5,0.0,84.0
2019-10-06 03:15:00,0.0,15.1,14.3,3.5,0.0,83.0
2019-10-06 03:30:00,0.0,14.1,273.9,1.4,0.0,86.0
2019-10-06 03:45:00,0.0,13.7,343.2,2.2,0.0,89.0
2019-10-06 04:00:00,0.0,13.7,185.6,1.6,0.0,87.0
2019-10-06 04:15:00,0.0,12.9,23.7,2.0,0.0,91.0
2019-10-06 04:30:00,0.0,12.8,193.6,2.0,0.0,94.0
2019-10-06 04:45:00,0.0,12.6,340.2,2.1,0.0,95.0
2019-10-06 05:00:00,0.0,12.5,347.1,3.1,0.0,95.0
2019-10-06 05:15:00,0.0,12.6,5.5,3.3,0.0,95.0
2019-10-06 05:30:00,0.0,12.9,5.8,4.2,0.0,93.0
2019-10-06 05:45:00,0.0,13.1,336.4,3.5,0.0,91.0
2019-10-06 06:00:00,0.0,13.0,100.9,2.3,0.0,90.0
2019-10-06 06:15:00,0.0,11.7,335.1,1.4,0.0,93.0
2019-10-06 06:30:00,0.0,11.7,359.5,2.4,0.0,95.0
2019-10-06 06:45:00,0.0,11.7,228.1,2.8,0.0,95.0
2019-10-06 07:00:00,0.0,11.1,255.3,0.8,0.0,95.0
2019-10-06 07:15:00,0.0,10.9,315.1,1.8,0.0,96.0
2019-10-06 07:30:00,0.0,11.3,313.9,3.2,0.0,97.0
2019-10-06 07:45:00,0.0,11.7,307.5,3.6,0.3,97.0
2019-10-06 08:00:00,0.0,12.1,299.0,2.1,14.8,95.0
2019-10-06 08:15:00,0.0,12.7,330.4,2.4,41.7,94.0
2019-10-06 08:30:00,0.0,13.9,330.0,2.7,90.1,92.0
2019-10-06 08:45:00,0.0,15.5,113.7,3.0,147.4,86.0
2019-10-06 09:00:00,0.0,16.2,108.8,3.0,198.0,83.0
2019-10-06 09:15:00,0.0,16.8,93.6,2.4,257.9,81.0
2019-10-06 09:30:00,0.0,18.7,44.9,1.9,320.2,74.0
2019-10-06 09:45:00,0.0,19.5,98.5,3.0,379.0,69.0
2019-10-06 10:00:00,0.0,20.2,107.8,3.1,439.4,66.0
2019-10-06 10:15:00,0.0,20.4,144.4,5.5,500.3,65.0
2019-10-06 10:30:00,0.0,20.9,158.7,4.4,554.6,64.0
2019-10-06 10:45:00,0.0,21.6,243.2,4.0,606.6,61.0
2019-10-06 11:00:00,0.0,21.8,313.9,5.2,656.4,59.0
2019-10-06 11:15:00,0.0,22.5,247.5,3.6,700.6,57.0
2019-10-06 11:30:00,0.0,23.1,248.4,3.9,744.2,55.0
2019-10-06 11:45:00,0.0,23.3,21.5,4.2,786.4,54.0
2019-10-06 12:00:00,0.0,23.6,58.5,4.6,819.7,52.0
2019-10-06 12:15:00,0.0,23.9,9.1,6.1,855.0,51.0
2019-10-06 12:30:00,0.0,24.7,269.8,4.9,879.6,49.0
2019-10-06 12:45:00,0.0,25.1,286.1,5.2,907.3,47.0
2019-10-06 13:00:00,0.0,25.9,70.9,5.0,920.1,44.0
2019-10-06 13:15:00,0.0,26.0,321.1,4.7,944.5,43.0
2019-10-06 13:30:00,0.0,26.2,323.1,6.9,954.5,44.0
2019-10-06 13:45:00,0.0,26.2,15.7,5.7,955.1,43.0
2019-10-06 14:00:00,0.0,26.8,282.5,5.4,976.9,41.0
2019-10-06 14:15:00,0.0,27.1,14.5,6.4,767.4,42.0
2019-10-06 14:30:00,0.0,26.8,315.6,7.2,807.7,42.0
2019-10-06 14:45:00,0.0,27.1,304.5,8.8,936.9,41.0
2019-10-06 15:00:00,0.0,27.5,357.3,4.6,777.8,39.0
2019-10-06 15:15:00,0.0,27.9,32.6,7.2,887.7,38.0
2019-10-06 15:30:00,0.0,28.1,5.6,8.6,884.9,37.0
2019-10-06 15:45:00,0.0,28.0,34.4,10.0,777.2,36.0
2019-10-06 16:00:00,0.0,28.6,3.2,6.6,835.7,35.0
2019-10-06 16:15:00,0.0,28.2,333.2,7.5,667.0,34.0
2019-10-06 16:30:00,0.0,28.6,1.6,8.6,722.7,34.0
2019-10-06 16:45:00,0.0,28.4,10.2,9.2,658.6,34.0
2019-10-06 17:00:00,0.0,28.5,30.5,11.4,600.2,33.0
2019-10-06 17:15:00,0.0,28.4,339.1,8.1,553.8,33.0
2019-10-06 17:30:00,0.0,28.7,329.9,6.6,499.8,33.0
2019-10-06 17:45:00,0.0,28.4,17.8,9.7,422.0,33.0
2019-10-06 18:00:00,0.0,28.1,55.1,7.6,367.5,33.0
2019-10-06 18:15:00,0.0,28.1,75.9,9.9,312.4,33.0
2019-10-06 18:30:00,0.0,27.9,60.0,8.1,255.6,34.0
2019-10-06 18:45:00,0.0,27.5,53.8,9.2,185.7,34.0
2019-10-06 19:00:00,0.0,27.3,50.7,7.9,119.7,35.0
2019-10-06 19:15:00,0.0,26.7,26.9,8.6,48.9,37.0
2019-10-06 19:30:00,0.0,25.5,55.1,7.3,6.7,40.0
2019-10-06 19:45:00,0.0,23.7,36.1,5.1,0.0,44.0
2019-10-06 20:00:00,0.0,23.2,32.5,3.9,0.0,46.0
2019-10-06 20:15:00,0.0,22.5,19.2,3.5,0.0,49.0
2019-10-06 20:30:00,0.0,21.7,339.7,3.5,0.0,52.0
